Time, Alpha_L1, Alpha_L2, Alpha_R1, Alpha_R2, CamberL1, CamberR1, Fx_Air  , Fx_L1   , Fx_L2   , Fx_R1   , Fx_R2   , Fy_Air  , Fy_L1   , Fy_L2   , Fy_R1   , Fy_R2   , Fz_Air  , Fz_L1   , Fz_L2   , Fz_R1   , Fz_R2   , MuX_L1  , MuX_L2  , MuX_R1  , MuX_R2  , MuY_L1  , MuY_L2  , MuY_R1  , MuY_R2  , Steer_SW
        7.275, -0.42047155629, -0.0263665654719, 0.445006306652, -0.018914059583, -2.51858670184, -3.33885146947, -429.164352338, 1692.54866554, -39.1742455532, 1692.07282719, -38.8994000893, 0.25641405364, 438.561704869,  26.477436944, -432.873565764, 22.5853823492, 257.498554492, 3988.63087257, 3376.16203145, 3995.17605809, 3387.26805062,             1,             1,             1,             1,             1,             1,             1,             1, -9.56117924048
          7.3, -0.41667148474, -0.0207716136188, 0.448790601836, -0.0132800605103, -2.51888684843, -3.33853112936, -430.418431004, 1691.93349681, -39.1784122799, 1691.38557285, -38.9032139204, 0.20968673145, 434.184336511, 20.8713149393, -437.195539687, 16.8562452774,  258.25102065, 3991.22536394, 3379.26175635, 3991.97456449, 3383.79082587,             1,             1,             1,             1,             1,             1,             1,             1, -9.60259475502
        7.325, -0.412754848529, -0.015240801429, 0.452684823422, -0.00771525851747, -2.51914769207, -3.33824970535, -431.67323496, 1691.32963518, -39.179595336, 1690.71836946, -38.8986379619, 0.160260485444, 429.739676113, 15.1906931212, -441.553758361, 11.0517474865, 259.003918868, 3993.99767057, 3382.56288264, 3988.57325527, 3380.08824696,             1,             1,             1,             1,             1,             1,             1,             1, -9.63793597163
         7.35, -0.408792677479, -0.0098840246586, 0.456619823602, -0.00232800195127, -2.51937550931, -3.33800065565, -432.928780171, 1690.73963208, -39.1741186357, 1690.06913592, -38.8808695234, 0.109615307486, 425.254799711, 9.53334323401, -445.922083122, 5.28751806414, 259.757257788, 3996.93509088, 3386.04582752,  3984.9877347, 3376.20508995,             1,             1,             1,             1,             1,             1,             1,             1, -9.66939174523
        7.375, -0.404846875959, -0.00479463213735, 0.460535908318, 0.00279132113032, -2.51957802171, -3.33777594497, -434.185083801, 1690.16382178, -39.1607213811, 1689.43847809, -38.8525872585, 0.0591528060397, 420.707051041, 4.01023522946, -450.325510525, -0.289372372332, 260.511047285, 3999.98379949, 3389.63785742, 3981.27639661, 3372.23096506,             1,             1,             1,             1,             1,             1,             1,             1, -9.69940874274
          7.4, -0.400751083851, -4.01659322753e-05, 0.464602433235, 0.0075779509199, -2.51980163277, -3.33752878815, -435.442158454, 1689.59610247, -39.1458037615, 1688.83450397, -38.8247523385, 0.0101098127353, 416.068970421, -1.24304032829, -454.794327641, -5.51976952834, 261.265294985, 4003.05829293, 3393.24451986, 3977.53100901, 3368.26484193,             1,             1,             1,             1,             1,             1,             1,             1, -9.72980739745
        7.425, -0.396625323501, 0.00434382350013, 0.468699780038, 0.0119984135487, -2.52004173255, -3.3372637437, -436.700008736, 1689.04236024, -39.1394710088, 1688.25529242, -38.8045215189, -0.0365431607583,  411.35794604, -6.10484006626, -459.315519041, -10.301435148, 262.020004105, 4006.10466714, 3396.76797993, 3973.83433294,  3364.3997004,             1,             1,             1,             1,             1,             1,             1,             1, -9.76159414383
         7.45, -0.392597351197, 0.00834913915777, 0.472702758196, 0.0160457912964, -2.52028875514, -3.33699085585, -437.958636143, 1688.50501642, -39.1454747149, 1687.69993864, -38.7906052271, -0.0801410317442, 406.623783433, -10.5156215257, -463.849989302, -14.6126369613, 262.775176236, 4009.10069011, 3400.12293154,  3970.2867347, 3360.71692447,             1,             1,             1,             1,             1,             1,             1,             1, -9.79528378911
        7.475, -0.388530691598, 0.0119858619165, 0.476751503067, 0.0197304458175, -2.52057513016, -3.33667855119, -439.218034058,  1687.9519677, -39.1605163701, 1687.14627357, -38.7790714355, -0.120300055908, 401.900277507, -14.477388759, -468.372199219, -18.4796126146,  263.53080819, 4011.98829882,  3403.2516261, 3966.96748632, 3357.27989906,             1,             1,             1,             1,             1,             1,             1,             1, -9.83113938468
          7.5, -0.384543353571, 0.0152759940517, 0.480728547612, 0.0230735471271, -2.52088681781, -3.33634179153, -440.47817239,  1687.3682962, -39.1800273971, 1686.56701331, -38.7673484136, -0.156873710039,   397.2247274, -18.0243147056, -472.848785375, -21.9447333602, 264.286882673, 4014.73403873, 3406.12932046, 3963.90182016, 3354.12777343,             1,             1,             1,             1,             1,             1,             1,             1, -9.86925319015
        7.525, -0.380739069328, 0.0182508663931, 0.484530168531, 0.0261040367313, -2.52120892907, -3.33599610383, -441.739018118, 1686.75986699, -39.2011585318,    1685.96271, -38.7548122227, -0.189910753844, 392.634903996, -21.2022338457, -477.244200515, -25.0536419842, 265.043380535, 4017.32279414, 3408.78732696, 3961.09228164, 3351.30084767,             1,             1,             1,             1,             1,             1,             1,             1, -9.90960218203
         7.55, -0.37696084209, 0.0209480714459, 0.48831417741, 0.0288569718357, -2.52156885098, -3.33561433638, -443.000545114, 1686.13200634, -39.2227054121, 1685.34795371, -38.7415061371, -0.219614972585, 388.142027295, -24.0604735621, -481.549243967, -27.8522555108, 265.800286619, 4019.73718824, 3411.26864724, 3958.54242139, 3348.80358292,             1,             1,             1,             1,             1,             1,             1,             1, -9.95211707129
        7.575, -0.373294406942, 0.023408548744, 0.491995355372, 0.0313721379391,  -2.521950895, -3.33521232663, -444.262737061, 1685.49947908, -39.2442135409, 1684.72634583, -38.7275243922, -0.246306590754, 383.753983613, -26.6480942611, -485.754110248, -30.3865951177, 266.557591506, 4021.97974073,  3413.5929597, 3956.20595175, 3346.58782784,             1,             1,             1,             1,             1,             1,             1,             1, -9.99672149975
          7.6, -0.369805535605, 0.0256758603954, 0.495504725815, 0.0336926347436, -2.52234004406, -3.33480408953, -445.525584672, 1684.86538959, -39.2653125064,  1684.0975961, -38.712790947, -0.270387720659,  379.46132463, -29.0136355662, -489.837347985, -32.703013719, 267.315289845, 4023.92158306, 3415.77396417, 3953.88514788,  3344.5837497,             1,             1,             1,             1,             1,             1,             1,             1, -10.0433604902
        7.625, -0.366310317508, 0.0277948638035, 0.499013264729, 0.0358630113715, -2.52276084332, -3.3343610935, -446.789089441, 1684.24070055, -39.2858098854, 1683.48312502, -38.6972554073, -0.292310073996, 375.225487593, -31.2052791882, -493.80322775, -34.8478433476, 268.073382627, 4025.46253537, 3417.82737158, 3951.45076624, 3342.71903282,             1,             1,             1,             1,             1,             1,             1,             1, -10.0920108226
         7.65, -0.36286578486, 0.029810092019, 0.502457875418, 0.0379274426076, -2.52319687794, -3.33389550366, -448.053266544, 1683.64069603, -39.3057733221, 1682.88905227, -38.6809620624, -0.31254788858, 371.021918625, -33.2701798412, -497.665136529, -36.8663442024, 268.831878946, 4026.63917609, 3419.77260652, 3948.86368669, 3340.92585312,             1,             1,             1,             1,             1,             1,             1,             1, -10.1426266602
        7.675, -0.35952608929, 0.031762709105, 0.505782118813, 0.0399286754993, -2.52363248901, -3.33342015326, -449.318140132, 1683.07315858, -39.3253263115, 1682.32053479, -38.6633828604, -0.331578826394, 366.836383836, -35.2520614035, -501.436914421, -38.8008614498, 269.590793198, 4027.51553691,  3421.5491842, 3946.11114387, 3339.05237952,             1,             1,             1,             1,             1,             1,             1,             1, -10.1951232204
          7.7, -0.356123658567, 0.0336888135959, 0.509153676485, 0.041907256212, -2.5240908583, -3.33291037162, -450.58374174, 1682.53635942, -39.3439202712, 1681.78672388, -38.6438319465, -0.349867165001, 362.614957105, -37.1878104112, -505.145328297, -40.690429881,  270.35014415, 4028.14580234, 3423.01342936, 3943.21020203, 3336.88359541,             1,             1,             1,             1,             1,             1,             1,             1, -10.2493026517
        7.725, -0.352637253779, 0.0356273391018, 0.512355806034, 0.0439004026735, -2.52455734156, -3.33238083923, -451.85011074, 1682.22601149, -39.3614257658, 1681.55681932, -38.6230665526, -0.367857063397, 358.412588258, -39.1155129325, -508.909061118, -42.5728778506, 271.109955226, 4029.29580188, 3424.20213079, 3941.26783811, 3334.39672944,             1,             1,             1,             1,             1,             1,             1,             1, -10.3049166665
         7.75, -0.349898647271, 0.0376026807967, 0.515272174046, 0.045914930009, -2.52502852357, -3.33199412137, -453.118020984, 1683.86583418, -39.4148842619, 1683.15788575, -38.6384022124, -0.385861234451, 356.508527518, -41.0698653746, -515.53078825, -44.4711343219, 271.870690567, 4058.22472194, 3425.35679799,   3967.897624, 3331.72168931,             1,             1,             1,             1,             1,             1,             1,             1, -10.3586083435
